Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1676963310.6861699,0,1676963310,685866919,map,0.025028830394148827,9.996408462524414,10.176321983337402,-0.0030660754748223357,0.0012448391924960427,-0.716794354171877,-0.6972768361469484
1676963310.7213004,1,1676963310,721025571,map,0.02479413151741028,9.996878623962402,10.176441192626953,-0.0031243684352618866,0.001191111262585828,-0.716750929088476,-0.6973212727547136
1676963310.7526393,2,1676963310,752461332,map,0.024600470438599586,9.997321128845215,10.17654037475586,-0.003118583286395385,0.0011253886853252796,-0.7167838602651423,-0.6972876672284711
1676963310.785118,3,1676963310,784846806,map,0.024418193846940994,9.997722625732422,10.176680564880371,-0.0031709057176894373,0.0011379048999259358,-0.7167816949707999,-0.6972895796417223
1676963310.8207176,4,1676963310,820561104,map,0.024165155366063118,9.99815845489502,10.176889419555664,-0.0031028484355119634,0.0010003922455805402,-0.716799264938273,-0.6972720096742493
1676963310.8540127,5,1676963310,852780423,map,0.023971734568476677,9.998385429382324,10.177002906799316,-0.0030501608412882345,0.00106820891205841,-0.7167744615179242,-0.6972976560315682
1676963310.8888526,6,1676963310,888635821,map,0.023699473589658737,9.998693466186523,10.177112579345703,-0.003035759049125097,0.0011342461912757108,-0.7167985497589373,-0.697272893440979
1676963310.929678,7,1676963310,928965389,map,0.023324042558670044,9.999093055725098,10.177214622497559,-0.003042118778074813,0.0011561722660328685,-0.7167770272073274,-0.697294921754771
1676963310.9647436,8,1676963310,964542709,map,0.022965803742408752,9.999384880065918,10.177265167236328,-0.002972542562989677,0.0011911274792443373,-0.7167223871109555,-0.6973513320187803
1676963310.9978173,9,1676963310,997277836,map,0.02256879210472107,9.999632835388184,10.177309036254883,-0.002998252469853576,0.0012169167407214483,-0.7167670930634245,-0.6973051930734621
1676963311.038375,10,1676963311,37795999,map,0.022126158699393272,9.999847412109375,10.177352905273438,-0.0029808769376465792,0.0011930591549223772,-0.7168129317124471,-0.6972581743126811
1676963311.0648293,11,1676963311,64535783,map,0.02166784554719925,10.000039100646973,10.177412033081055,-0.003126220920962842,0.0011322107125195998,-0.716850088769221,-0.6972194999693608
1676963311.0970278,12,1676963311,96688746,map,0.02119872346520424,10.000208854675293,10.177465438842773,-0.0031317689114884056,0.0010033094331147764,-0.7168204075097018,-0.6972501084595474
1676963311.1330433,13,1676963311,132892417,map,0.02065414749085903,10.000436782836914,10.177529335021973,-0.0030849270522259123,0.001063449281626965,-0.7167864490036031,-0.6972852470774044
1676963311.166415,14,1676963311,165749799,map,0.02023931033909321,10.000569343566895,10.177533149719238,-0.0031228485145374622,0.0008234369734282184,-0.7167697469977916,-0.6973025391390949
1676963311.197383,15,1676963311,196920534,map,0.019821899011731148,10.000680923461914,10.17746639251709,-0.0030764834414987487,0.0008267552968858797,-0.7167792359656072,-0.6972929658775824
1676963311.232792,16,1676963311,232621850,map,0.019425978884100914,10.000776290893555,10.177347183227539,-0.0031303443973995757,0.0008012947314363152,-0.7168437153754728,-0.6972264634189883
1676963311.2648447,17,1676963311,264595420,map,0.019060449674725533,10.000844955444336,10.177178382873535,-0.003142288913049239,0.000769830956570044,-0.7168428684872354,-0.6972273946009225
1676963311.2976434,18,1676963311,296874220,map,0.018712345510721207,10.000863075256348,10.177033424377441,-0.003108269079993296,0.0006892824844832172,-0.7168056976010269,-0.6972657455988894
1676963311.3337638,19,1676963311,333171596,map,0.018340693786740303,10.000951766967773,10.176857948303223,-0.0030270607463094706,0.0006078155074438813,-0.7167863107092565,-0.6972860597213272
1676963311.3653858,20,1676963311,364971592,map,0.018071066588163376,10.001058578491211,10.176692008972168,-0.0027957555489591442,0.0004896778910678453,-0.7167246037717694,-0.6973505483508159
1676963311.396861,21,1676963311,396613604,map,0.017835164442658424,10.001246452331543,10.176583290100098,-0.0028087363667101822,0.000547972662504793,-0.716760088125493,-0.6973139681790309
1676963311.4327264,22,1676963311,432558415,map,0.017613040283322334,10.001447677612305,10.176473617553711,-0.0027256025312030786,0.0006058239865336781,-0.7167607321820219,-0.6973135770035932
1676963311.4646013,23,1676963311,464428672,map,0.017434831708669662,10.001643180847168,10.176309585571289,-0.0026685491161636786,0.0004940387727997067,-0.7168049040548948,-0.69726856219375
1676963311.496968,24,1676963311,496737707,map,0.017297226935625076,10.001876831054688,10.176158905029297,-0.002735243375845755,0.00048159672677426234,-0.7168343014817311,-0.6972379846551554
1676963311.5339415,25,1676963311,533502004,map,0.017130404710769653,10.002169609069824,10.17596435546875,-0.0026165808994968575,0.0005200682383861049,-0.7168609435583461,-0.6972110054037524
1676963311.5688307,26,1676963311,568576234,map,0.016988292336463928,10.002418518066406,10.175796508789062,-0.002700249390826379,0.0005618610369058946,-0.7168755105628627,-0.6971958483433567
1676963311.600794,27,1676963311,600595339,map,0.016871770843863487,10.002669334411621,10.175583839416504,-0.002714248976931266,0.0006450346320376676,-0.7168795698312098,-0.6971915361939184
1676963311.636935,28,1676963311,636775537,map,0.016761232167482376,10.002902030944824,10.175357818603516,-0.002765220651121383,0.0007137395927387427,-0.7168162975334273,-0.6972563257782473
1676963311.6692488,29,1676963311,668735893,map,0.01665310561656952,10.003097534179688,10.175137519836426,-0.002778328814916652,0.000840591234680533,-0.7167676271430204,-0.6973061762804125
1676963311.7014859,30,1676963311,700935236,map,0.016524335369467735,10.003253936767578,10.174887657165527,-0.002856814643286413,0.0009135871067594966,-0.7167993597686821,-0.6972731792492955
